GraderBatchID,GraderBatchNo,FarmCode,Orchard,ProductionSite,Owner,Bins,InputKgs,ExportKgs,PackOut,NormExportKgs,NormSFPackOut,RAPPO,CRAPPO,FinalPackOut,Packing site,PackoutDiff,53,58,63,67,72,BulkKgs,53A,58A,63A,67A,72A,BulkKgsA,Prop53,Prop58,Prop63s,m53,m58,m63s,mpa53,mpa58,mpa63s,WAAppleMass,BulkRTEs,53b,58b,63b,67b,72b,BulkARTEs,53Ab,58Ab,63Ab,67Ab,72Ab,UnadjustedRTEs,AdjustedRTEs
5023,34,R1580,Pioneer,A,Pioneer Capital Molly Limited,15,6610.09,5139.09,0.7774614263951021,0,NA,NA,NA,0.7774614263951021,Te Ipu,0,864,2831,7936,975,240,0,864,2831,7936,975,240,0,0.2155458515283843,0.4968850072780204,0.28756914119359533,402201.2,1111600.3,721103.1,54.32215018908698,65.12774197328334,73.00092123911723,65.0627248908297,0,864,2831,7936,975,240,0,864,2831,7936,975,240,12846,12846
5024,35,R2926,Mana 1,B,Mana Orchards Limited Partnership,45,19918.34,17140.25,0.8605260277713906,0,NA,NA,NA,0.8605260277713906,Te Ipu,0,13792.8,18354,17584,525,60,0,13792.8,18354,17584,525,60,0,0.3771193516915261,0.4648466683659568,0.1580339799425171,4568576.8,6792855.7,2606581.3000000003,53.239369785111634,64.22046722256887,72.48557563959956,61.385450853893275,0,13792.8,18354,17584,525,60,0,13792.8,18354,17584,525,60,50315.8,50315.8
5027,36,R2534,Stock Road South,B,ROLP 1,27,11865.39,10163.8,0.8565921558414852,0,NA,NA,NA,0.8565921558414852,Te Ipu,0,5945.4,9519,12352,570,108,0,5945.4,9519,12352,570,108,0,0.30018517682128176,0.49021272751908224,0.20960209565963597,1817030.2,3571952.3000000003,1719824.3,54.67712445835339,65.81938675855461,74.11757886571282,64.21396323562621,0,5945.4,9519,12352,570,108,0,5945.4,9519,12352,570,108,28494.4,28494.4
5030,37,R1230,Home Block,E,ROLP 1,40,17160.39,14988.47,0.8734341119286916,0,NA,NA,NA,0.8734341119286916,Te Ipu,0,8429.4,14326,17856,750,120,0,8429.4,14326,17856,750,120,0,0.2871354543263437,0.5175704989154013,0.195294046758255,2655907.3000000003,5718041.3,2422490,55.73431473359495,66.56935480115489,74.742834222949,65.05446252108942,0,8429.4,14326,17856,750,120,0,8429.4,14326,17856,750,120,41481.4,41481.4
5031,38,R2695,IND - Riverpoint Rd,C,Riverland Fruit Company Ltd,10,4155.01,3201.3500000000004,0.7704794934308221,0,NA,NA,NA,0.7704794934308221,Te Ipu,0,211.2,418,3024,1530,1680,0,211.2,418,3024,1530,1680,0,0.12455089820359282,0.49820359281437127,0.3772455089820359,34743.5,165541.2,139026.4,55.6786858974359,66.32259615384616,73.5589417989418,67.72676646706587,0,211.2,418,3024,1530,1680,0,211.2,418,3024,1530,1680,6863.2,6863.2
5032,39,R2534,Stock Road South,B,ROLP 1,24,10463.71,8857.449999999999,0.8464923053104492,0,NA,NA,NA,0.8464923053104492,Te Ipu,0,5164.2,8702,10560,420,36,0,5164.2,8702,10560,420,36,0,0.29302299484743355,0.5057183201324145,0.20125868502015204,1724153.1,3565575.8000000003,1592782.5,55.02323599808521,65.9315051775148,74.00717870086423,64.36043090791775,0,5164.2,8702,10560,420,36,0,5164.2,8702,10560,420,36,24882.2,24882.2
5033,40,R2919,Valley,C,Rockit Orchards Limited,62,26711.9,20600.72,0.7712188200764454,0,NA,NA,NA,0.7712188200764454,Te Ipu,0,11199,17195,25152,2160,588,0,11199,17195,25152,2160,588,0,0.32252709179450656,0.4764161838584875,0.20105672434700594,3616045.8000000003,6449117.9,3064598.5,53.950701976874306,65.13931518610171,73.34733856684697,63.18096260081228,0,11199,17195,25152,2160,588,0,11199,17195,25152,2160,588,56294,56294
5035,41,R1021,IND - Riverside Apples,A,Rowelans Trading Limited,9,3905.76,3150.4500000000003,0.8066163819589529,0,NA,NA,NA,0.8066163819589529,Te Ipu,0,2649.6,2679,3152,285,132,0,2649.6,2679,3152,285,132,0,0.410096585804133,0.4459512578616352,0.1439521563342318,807657.6,1062407,387060.4,55.29628919622073,66.88956746206637,75.49451921201482,63.37390498652291,0,2649.6,2679,3152,285,132,0,2649.6,2679,3152,285,132,8897.6,8897.6
5036,42,R1021,IND - Riverside Apples,C,Rowelans Trading Limited,40,17158.13,13616.59,0.7935940571612408,0,NA,NA,NA,0.7935940571612408,Te Ipu,0,12672,12274,13168,885,348,0,12672,12274,13168,885,348,0,0.43644152164885114,0.4293532366611106,0.13420524169003828,4136327.4,4945975.7,1746663.6,53.91529347358542,65.53304757992925,74.03940485778475,61.60417503399077,0,12672,12274,13168,885,348,0,12672,12274,13168,885,348,39347,39347
5037,43,R2534,Stock Road South,A,ROLP 1,33,14289.3,10928.539999999999,0.7648058337357323,0,NA,NA,NA,0.7648058337357323,Te Ipu,0,11592.6,12046,8960,240,36,0,11592.6,12046,8960,240,36,0,0.482600336041295,0.39970437604291165,0.11769528791579337,4540504.5,4539650.100000001,1512907.8,54.32330138903844,65.57724120995003,74.22035910518053,61.16334031975889,0,11592.6,12046,8960,240,36,0,11592.6,12046,8960,240,36,32874.6,32874.6
