PlantingID,PlantingCode,RootStock,RowSpacing,TreeSpacing,YearPlanted,FirstSeason,Grow System,PIN,Orchard,Address1,TownCity,Latitude,Longitude,OrchardGroupID,Grower,OrchardGroup,PlantingSeasonID,QtyTrees,QtyRows,Hectares,ManagementArea,Subdivision
171,VALLEY F1,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2412,5281,60,2.329,F1,F
172,VALLEY F2,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2540,7910,60,3.443,F2,F
173,VALLEY F3,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2491,4312,60,1.886,F3,F
174,VALLEY G3,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2280,5648,60,2.561,G3,G
175,VALLEY G2,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2460,8057,60,3.472,G2,G
176,VALLEY G1,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2387,4968,60,2.196,G1,G
177,VALLEY H2,M.9 ,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2619,4583,49,2.02,H2,H
178,VALLEY H3,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2352,7060,61,3.134,H3,H
179,VALLEY H4,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2253,2753,49,1.228,H4,H
181,MKK SECTOR,,,,2022,2022,,,,,,,,,,Maraekakaho Sector,2248,0,0,0,,
182,PIONEER B1,M.9,3,1.4,2020,2023,2D,R1580,Pioneer,"445 Ngatarawa Road, Bridge Pa 4175",Hastings,-39.6227772,176.7323235,6,Pioneer Capital Molly Limited,Maraekakaho Sector,2593,8309,70,3.603,B1,B
183,PIONEER A1,M.9,3,1.4,2020,2023,2D,R1580,Pioneer,"445 Ngatarawa Road, Bridge Pa 4175",Hastings,-39.6227772,176.7323235,6,Pioneer Capital Molly Limited,Maraekakaho Sector,2324,5099,55,2.227,A1,A
