BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Variety,VarietyStrain,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329A,2/07/2024,PE1171,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),133,48960,48960,2720,0,0,0,0,48960,19080,2829600
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,C1,R2879,R2879C,24/06/2024,PE1164,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),10,3240,3240,180,0,0,0,0,3240,1080,210600
Pre-sized,Rockit Trading Company Ltd,Colaghty Orchard,A,R2929,R2929A,23/08/2024,PE1205,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),3,1080,1080,60,0,0,0,0,1080,0,0
Pre-sized,Rockit Trading Company Ltd,Pioneer,,R1580,R1580C,12/06/2024,PE1154,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),77,27720,27720,1540,0,0,0,0,27720,0,0
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR4,R2851,R2851G,11/05/2024,P1219,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),50,20601.604,18282.564,1015.143872,0,0,2319.04,128.8355543,18282.564,8401.068,1559449.26
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,C1,R2879,R2879C,11/05/2024,P1218,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),49,20647.231,18012.831,1000.714705,0,0,2634.4,146.3555541,18012.831,7323.084,1368695.88
Orchard pick,Rockit Trading Company Ltd,Springhill East,30,R2949,R2949M,24/07/2024,P1381,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),84,34395.136,31597.776,1755.432,0,0,2797.36,155.4088873,31597.776,700.128,84015.36
Pre-sized,Rockit Trading Company Ltd,Paki Paki,PPRK1,R2786,R2786A,24/06/2024,PE1165,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),23,8280,8280,460,0,0,0,0,8280,2880,561600
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR1,R2851,R2851A,12/04/2024,PE1092,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),10,3600,3600,200,0,0,0,0,3600,0,0
Orchard pick,Rockit Trading Company Ltd,Steel,A,R1149,R1149A,23/08/2024,P1420,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),53,22128.648,16318.368,906.576,0,0,5810.28,322.7933301,16318.368,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,F2,R2880,R2880F,24/06/2024,P1317,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),105,44114.014,37846.214,2102.011673,0,0,6267.8,348.2111076,37846.214,13623.048,2564613.36
Pre-sized,Rockit Trading Company Ltd,HAU,,R2776,R2776A,14/05/2024,PE1130,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),131,47520,47520,2640,0,0,0,0,47520,21600,4212000
Pre-sized,Rockit Trading Company Ltd,Wharerangi,A1,R1936,R1936A,3/05/2024,PE1122,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),6,2160,2160,120,0,0,0,0,2160,0,0
Orchard pick,Rockit Trading Company Ltd,Rangi2,C,R2901,R2901C,11/06/2024,P1285,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),79,33022.264,28606.104,1589.228,0,0,4416.16,245.3422198,28606.104,0,0
Pre-sized,Rockit Trading Company Ltd,Mana2,,R2927,R2927B,27/08/2024,PE1225,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),20,7200,7200,400,0,0,0,0,7200,0,0
