BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,Napier Road South,B1,R2712,R2712B,17/09/2024,PE1270,Final report sent,Smartfresh CA,10,3600,3600,200,0,0,0,0,3600,0,0
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR2,R2873,R2873B,6/08/2024,PE1184,Final report sent,Smartfresh Air,48,17280,17280,960,0,0,0,0,17280,360,43200
Pre-sized,Rockit Trading Company Ltd,Rangi2,B,R2901,R2901B,26/06/2024,PE1168,Done,Smartfresh Air,89,31680,31680,1760,0,0,0,0,31680,11160,2176200
Pre-sized,Rockit Trading Company Ltd,Crown,A2,R2924,R2924A,26/08/2024,PE1215,Final report sent,Smartfresh Air,2,720,720,40,0,0,0,0,720,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit STOCK ROADS,,R2534,R2534C,11/09/2024,P1469,Final report sent,Smartfresh CA,87,37162.332,27705.492,1539.194,0,0,9456.84,525.3799947,27705.492,0,0
Pre-sized,Rockit Trading Company Ltd,Mana1,A2,R2926,R2926A,26/08/2024,PE1216,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Orchard pick,Rockit Trading Company Ltd,Lowry Heretaunga,A1,R2946,R2946A,4/10/2024,P1551,Final report sent,Smartfresh CA,70,29307.708,24995.588,1388.643777,0,0,4312.12,239.5622198,24995.588,11032.736,1993280.84
Orchard pick,Rockit Trading Company Ltd,Sim1,C1,R2900,R2900C,11/04/2024,P1144,Final report sent,Smartfresh Air,16,6968.126,5779.806,321.0996435,0,0,1188.32,66.01777712,5779.806,869.19,104302.8
Orchard pick,Rockit Trading Company Ltd,Pioneer,C1,R1580,R1580C,2/06/2024,P1258,Final report sent,Smartfresh Air,52,21136.922,18428.962,1023.831,0,0,2707.96,150.4422207,18428.962,6851.916,1250838.72
Pre-sized,Rockit Trading Company Ltd,Lowry Heretaunga,B1,R2946,R2946B,13/10/2024,PE1315,Final report sent,Smartfresh CA,29,10440,10440,580,0,0,0,0,10440,3960,745200
Pre-sized,Rockit Trading Company Ltd,Sim1,B3,R2900,R2900B,12/04/2024,PE1090,Final report sent,Smartfresh Air,35,12600,12600,700,0,0,0,0,12600,0,0
